library,category,file_path,iteration,duration_us,status,expected_text,decoded_text
rqrr,decoding,./qrcodes/decoding/v2FaceBook.png,1,2909,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
rqrr,decoding,./qrcodes/decoding/v2FaceBook.png,2,2904,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
rqrr,decoding,./qrcodes/decoding/v2FaceBook.png,3,2782,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
rqrr,decoding,./qrcodes/decoding/v2FaceBook.png,4,2597,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
rqrr,decoding,./qrcodes/decoding/v2FaceBook.png,5,2476,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
rxing,decoding,./qrcodes/decoding/v2FaceBook.png,1,256,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
rxing,decoding,./qrcodes/decoding/v2FaceBook.png,2,248,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
rxing,decoding,./qrcodes/decoding/v2FaceBook.png,3,246,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
rxing,decoding,./qrcodes/decoding/v2FaceBook.png,4,247,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
rxing,decoding,./qrcodes/decoding/v2FaceBook.png,5,249,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
bardecoder,decoding,./qrcodes/decoding/v2FaceBook.png,1,1082,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
bardecoder,decoding,./qrcodes/decoding/v2FaceBook.png,2,1273,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
bardecoder,decoding,./qrcodes/decoding/v2FaceBook.png,3,1254,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
bardecoder,decoding,./qrcodes/decoding/v2FaceBook.png,4,1264,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
bardecoder,decoding,./qrcodes/decoding/v2FaceBook.png,5,1266,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
zbar,decoding,./qrcodes/decoding/v2FaceBook.png,1,1563,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
zbar,decoding,./qrcodes/decoding/v2FaceBook.png,2,1548,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
zbar,decoding,./qrcodes/decoding/v2FaceBook.png,3,1605,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
zbar,decoding,./qrcodes/decoding/v2FaceBook.png,4,1709,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
zbar,decoding,./qrcodes/decoding/v2FaceBook.png,5,1710,Correct,http://www.facebook.com/QRCode,http://www.facebook.com/QRCode
rqrr,decoding,./qrcodes/decoding/v3VCard-Type.png,1,7468,Correct,"BEGIN:VCARD
VERSION:3.0
N:Standard;Joe;;;
FN:Joe Standard12.02
TEL:999-999-0001
TEL;type=WORK:999-999-0002
TEL;type=HOME:999-999-0003
TEL;type=CELL:999-999-0004
TEL;type=CELL;type=WORK:999-999-0005
TEL;type=CELL,WORK:999-999-0006
TEL;type=CELL;type=WORK;type=VOICE;type=MSG:999-999-0007
TEL;type=CELL,WORK,VOICE,MSG:999-999-0008
TEL;type=CELL,WORK;type=VOICE;type=MSG:999-999-0009
END:VCARD","BEGIN:VCARD
VERSION:3.0
N:Standard;Joe;;;
FN:Joe Standard12.02
TEL:999-999-0001
TEL;type=WORK:999-999-0002
TEL;type=HOME:999-999-0003
TEL;type=CELL:999-999-0004
TEL;type=CELL;type=WORK:999-999-0005
TEL;type=CELL,WORK:999-999-0006
TEL;type=CELL;type=WORK;type=VOICE;type=MSG:999-999-0007
TEL;type=CELL,WORK,VOICE,MSG:999-999-0008
TEL;type=CELL,WORK;type=VOICE;type=MSG:999-999-0009
END:VCARD
"
